Date,Close
1/2/2018,66.75
1/3/2018,66.9
1/4/2018,66.85
1/5/2018,66.3
1/8/2018,66.05
1/9/2018,67.63
1/10/2018,67.95
1/11/2018,68.8
1/12/2018,69.69
1/16/2018,68.52
1/17/2018,69.45
1/18/2018,69.02
1/19/2018,68.56
1/22/2018,68.86
1/23/2018,68.51
1/24/2018,71.17
1/25/2018,70.76
1/26/2018,71.65
1/29/2018,71.94
1/30/2018,71.79
1/31/2018,71.61
2/1/2018,71.11
2/2/2018,69.95
2/5/2018,68.04
2/6/2018,69.27
2/7/2018,69.12
2/8/2018,66.76
2/9/2018,67.07
2/12/2018,68.77
2/13/2018,68.75
2/14/2018,69.92
2/15/2018,69.6
2/16/2018,69.5
2/20/2018,69.45
2/21/2018,69.58
2/22/2018,68.2
2/23/2018,68.76
2/26/2018,68.64
2/27/2018,67.49
2/28/2018,66.91
3/1/2018,65.98
3/2/2018,64.97
3/5/2018,65.19
3/6/2018,66.15
3/7/2018,66.01
3/8/2018,66.73
3/9/2018,67.47
3/12/2018,67.36
3/13/2018,67.57
3/14/2018,66.96
3/15/2018,66.73
3/16/2018,66.91
3/19/2018,67.63
3/20/2018,67.85
3/21/2018,67.06
3/22/2018,66.2
3/23/2018,64.41
3/26/2018,65.8
3/27/2018,65.73
3/28/2018,64.64
3/29/2018,65.58
4/2/2018,64.62
4/3/2018,64.49
4/4/2018,64.98
4/5/2018,65.51
4/6/2018,64.51
4/9/2018,64.86
4/10/2018,63.1
4/11/2018,63.64
4/12/2018,63.75
4/13/2018,62.94
4/16/2018,64.08
4/17/2018,64.17
4/18/2018,65.27
4/19/2018,65.06
4/20/2018,65.88
4/23/2018,66.27
4/24/2018,65.54
4/25/2018,66.07
4/26/2018,64.31
4/27/2018,64.36
4/30/2018,63.06
5/1/2018,64.11
5/2/2018,62.85
5/3/2018,63.3
5/4/2018,63.57
5/7/2018,62.93
5/8/2018,63.15
5/9/2018,63.95
5/10/2018,64.06
5/11/2018,64.02
5/14/2018,64.82
5/15/2018,65.18
5/16/2018,65.46
5/17/2018,64.82
5/18/2018,64.84
5/21/2018,64.77
5/22/2018,65.05
5/23/2018,64.68
5/24/2018,64.15
5/25/2018,64.25
5/29/2018,62.55
5/30/2018,62.88
5/31/2018,62.28
6/1/2018,63.17
6/4/2018,63.34
6/5/2018,60.59
6/6/2018,61.45
6/7/2018,61.33
6/8/2018,60.94
6/11/2018,61.14
6/12/2018,62.17
6/13/2018,63.83
6/14/2018,64.2
6/15/2018,65.18
6/18/2018,64.45
6/19/2018,63.47
6/20/2018,63
6/21/2018,62.4
6/22/2018,63.53
6/25/2018,58.54
6/26/2018,59.76
6/27/2018,58.07
6/28/2018,57.16
6/29/2018,57.31
7/2/2018,57.15
7/3/2018,56.76
7/5/2018,56.89
7/6/2018,57.55
7/9/2018,57.94
7/10/2018,58.82
7/11/2018,57.99
7/12/2018,58.4
7/13/2018,58.05
7/16/2018,58.4
7/17/2018,58.59
7/18/2018,59.53
7/19/2018,58.86
7/20/2018,58.14
7/23/2018,58.15
7/24/2018,57.75
7/25/2018,57.77
7/26/2018,57.67
7/27/2018,58.22
7/30/2018,58.73
7/31/2018,59.24
8/1/2018,58.62
8/2/2018,58.85
8/3/2018,59.05
8/6/2018,58.41
8/7/2018,58.69
8/8/2018,58.6
8/9/2018,59.34
8/10/2018,59.6
8/13/2018,58.99
8/14/2018,59.32
8/15/2018,59.2
8/16/2018,59.83
8/17/2018,60.58
8/20/2018,60.75
8/21/2018,61.45
8/22/2018,61.87
8/23/2018,61
8/24/2018,61.23
8/27/2018,61.7
8/28/2018,61.74
8/29/2018,62.31
8/30/2018,61.58
8/31/2018,61.49
9/4/2018,61.2
9/5/2018,60.95
9/6/2018,61.74
9/7/2018,62.06
9/10/2018,61.99
9/11/2018,61.86
9/12/2018,62.53
9/13/2018,62.7
9/14/2018,63.95
9/17/2018,64.82
9/18/2018,65.67
9/19/2018,66.21
9/20/2018,66.94
9/21/2018,67.17
9/24/2018,66.81
9/25/2018,66.6
9/26/2018,66.98
9/27/2018,63.74
9/28/2018,63.77
10/1/2018,63.55
10/2/2018,63.12
10/3/2018,62.62
10/4/2018,61.69
10/5/2018,60.58
10/8/2018,61.09
10/9/2018,60.52
10/10/2018,59.06
10/11/2018,57.85
10/12/2018,58.24
10/15/2018,57.72
10/16/2018,59.09
10/17/2018,59
10/18/2018,57.54
10/19/2018,57.23
10/22/2018,56.48
10/23/2018,57.23
10/24/2018,54.75
10/25/2018,55.85
10/26/2018,54.27
10/29/2018,54.07
10/30/2018,54.14
10/31/2018,56.04
11/1/2018,57.75
11/2/2018,57.07
11/5/2018,56.86
11/6/2018,57.25
11/7/2018,58.67
