Date,S&P Options
1/2/2018,27.92
1/3/2018,28.09
1/4/2018,28.21
1/5/2018,28.41
1/8/2018,28.45
1/9/2018,28.49
1/10/2018,28.46
1/11/2018,28.66
1/12/2018,28.85
1/16/2018,28.75
1/17/2018,29.02
1/18/2018,28.97
1/19/2018,29.1
1/22/2018,29.34
1/23/2018,29.4
1/24/2018,29.38
1/25/2018,29.4
1/26/2018,29.75
1/29/2018,29.55
1/30/2018,29.23
1/31/2018,29.24
2/1/2018,29.22
2/2/2018,28.6
2/5/2018,27.43
2/6/2018,27.91
2/7/2018,27.77
2/8/2018,26.73
2/9/2018,27.13
2/12/2018,27.5
2/13/2018,27.58
2/14/2018,27.94
2/15/2018,28.28
2/16/2018,28.29
2/20/2018,28.13
2/21/2018,27.97
2/22/2018,28
2/23/2018,28.45
2/26/2018,28.78
2/27/2018,28.42
2/28/2018,28.1
3/1/2018,27.73
3/2/2018,27.87
3/5/2018,28.18
3/6/2018,28.25
3/7/2018,28.24
3/8/2018,28.36
3/9/2018,28.86
3/12/2018,28.82
3/13/2018,28.64
3/14/2018,28.47
3/15/2018,28.45
3/16/2018,28.5
3/19/2018,28.09
3/20/2018,28.13
3/21/2018,28.08
3/22/2018,27.38
3/23/2018,26.8
3/26/2018,27.53
3/27/2018,27.05
3/28/2018,26.98
3/29/2018,27.35
4/2/2018,26.74
4/3/2018,27.07
4/4/2018,27.39
4/5/2018,27.57
4/6/2018,26.97
4/9/2018,27.06
4/10/2018,27.51
4/11/2018,27.36
4/12/2018,27.59
4/13/2018,27.51
4/16/2018,27.73
4/17/2018,28.02
4/18/2018,28.05
4/19/2018,27.89
4/20/2018,27.65
4/23/2018,27.65
4/24/2018,27.28
4/25/2018,27.33
4/26/2018,27.62
4/27/2018,27.65
4/30/2018,27.42
5/1/2018,27.49
5/2/2018,27.29
5/3/2018,27.23
5/4/2018,27.58
5/7/2018,27.68
5/8/2018,27.67
5/9/2018,27.94
5/10/2018,28.2
5/11/2018,28.25
5/14/2018,28.27
5/15/2018,28.08
5/16/2018,28.19
5/17/2018,28.17
5/18/2018,28.09
5/21/2018,28.3
5/22/2018,28.21
5/23/2018,28.3
5/24/2018,28.25
5/25/2018,28.18
5/29/2018,27.85
5/30/2018,28.21
5/31/2018,28.01
6/1/2018,28.32
6/4/2018,28.44
6/5/2018,28.46
6/6/2018,28.71
6/7/2018,28.69
6/8/2018,28.78
6/11/2018,28.81
6/12/2018,28.86
6/13/2018,28.74
6/14/2018,28.81
6/15/2018,28.78
6/18/2018,28.72
6/19/2018,28.61
6/20/2018,28.66
6/21/2018,28.47
6/22/2018,28.53
6/25/2018,28.14
6/26/2018,28.2
6/27/2018,27.95
6/28/2018,28.13
6/29/2018,28.15
7/2/2018,28.24
7/3/2018,28.1
7/5/2018,28.34
7/6/2018,28.58
7/9/2018,28.83
7/10/2018,28.93
7/11/2018,28.73
7/12/2018,28.98
7/13/2018,29.01
7/16/2018,28.98
7/17/2018,29.09
7/18/2018,29.16
7/19/2018,29.04
7/20/2018,29.01
7/23/2018,29.07
7/24/2018,29.21
7/25/2018,29.47
7/26/2018,29.38
7/27/2018,29.19
7/30/2018,29.02
7/31/2018,29.16
8/1/2018,29.13
8/2/2018,29.28
8/3/2018,29.41
8/6/2018,29.52
8/7/2018,29.6
8/8/2018,29.59
8/9/2018,29.55
8/10/2018,29.34
8/13/2018,29.22
8/14/2018,29.41
8/15/2018,29.18
8/16/2018,29.42
8/17/2018,29.51
8/20/2018,29.59
8/21/2018,29.65
8/22/2018,29.63
8/23/2018,29.58
8/24/2018,29.77
8/27/2018,30
