Date,Close
1/2/2018,79.68
1/3/2018,80.85
1/4/2018,80.25
1/5/2018,79.29
1/8/2018,80.94
1/9/2018,81.93
1/10/2018,81.65
1/11/2018,83.07
1/12/2018,83.95
1/16/2018,83.4
1/17/2018,84.03
1/18/2018,83.95
1/19/2018,85.49
1/22/2018,85.77
1/23/2018,86.53
1/24/2018,85.79
1/25/2018,86.63
1/26/2018,87.69
1/29/2018,87.28
1/30/2018,86.41
1/31/2018,85.65
2/1/2018,85.76
2/2/2018,82.65
2/5/2018,79.91
2/6/2018,80.69
2/7/2018,82.02
2/8/2018,78.66
2/9/2018,80.43
2/12/2018,81.82
2/13/2018,83.21
2/14/2018,85.97
2/15/2018,84.56
2/16/2018,83.27
2/20/2018,84.31
2/21/2018,84.29
2/22/2018,83.38
2/23/2018,83.81
2/26/2018,82.14
2/27/2018,79.84
2/28/2018,80.79
3/1/2018,79.35
3/2/2018,78.9
3/5/2018,78.22
3/6/2018,78.94
3/7/2018,79.2
3/8/2018,79.21
3/9/2018,81.47
3/12/2018,81.13
3/13/2018,81.25
3/14/2018,81.24
3/15/2018,81.89
3/16/2018,81.51
3/19/2018,81.3
3/20/2018,81.35
3/21/2018,81.84
3/22/2018,80.44
3/23/2018,78.17
3/26/2018,79.98
3/27/2018,78.79
3/28/2018,78.31
3/29/2018,78.76
4/2/2018,77.07
4/3/2018,77.53
4/4/2018,78.03
4/5/2018,79.04
4/6/2018,77.51
4/9/2018,76.15
4/10/2018,75.01
4/11/2018,79.61
4/12/2018,79.95
4/13/2018,79.61
4/16/2018,80.53
4/17/2018,81.16
4/18/2018,82.18
4/19/2018,81.98
4/20/2018,82.33
4/23/2018,82.09
4/24/2018,82.04
4/25/2018,81.83
4/26/2018,81.93
4/27/2018,80.17
4/30/2018,78.84
5/1/2018,80.24
5/2/2018,79.45
5/3/2018,79.87
5/4/2018,81.16
5/7/2018,81.35
5/8/2018,82.43
5/9/2018,82.85
5/10/2018,82.76
5/11/2018,83.51
5/14/2018,82.97
5/15/2018,83.02
5/16/2018,84.2
5/17/2018,83.3
5/18/2018,83.84
5/21/2018,83.92
5/22/2018,82.76
5/23/2018,82.33
5/24/2018,82.03
5/25/2018,81.83
5/29/2018,80.33
5/30/2018,81.73
5/31/2018,81.73
6/1/2018,82.65
6/4/2018,83.19
6/5/2018,83.07
6/6/2018,84.68
6/7/2018,84.17
6/8/2018,84.14
6/11/2018,83.99
6/12/2018,83.81
6/13/2018,82.73
6/14/2018,82.93
6/15/2018,83.84
