Date,Close
1/2/2018,52.99
1/3/2018,52.34
1/4/2018,52.67
1/5/2018,52.65
1/8/2018,52.13
1/9/2018,52.08
1/10/2018,53.78
1/11/2018,56.42
1/12/2018,58.47
1/16/2018,57.98
1/17/2018,58.16
1/18/2018,58.34
1/19/2018,58.06
1/22/2018,58.1
1/23/2018,58.29
1/24/2018,54.79
1/25/2018,53.05
1/26/2018,53.07
1/29/2018,52.68
1/30/2018,52.59
1/31/2018,54.32
2/1/2018,53.88
2/2/2018,52.1
2/5/2018,49.76
2/6/2018,51.18
2/7/2018,51.4
2/8/2018,48.6
2/9/2018,48.36
2/12/2018,50.09
2/13/2018,50.87
2/14/2018,51.07
2/15/2018,51.67
2/16/2018,51.58
2/20/2018,51.72
2/21/2018,52.78
2/22/2018,52.98
2/23/2018,53.39
2/26/2018,55
2/27/2018,54.26
2/28/2018,54.25
3/1/2018,53.48
3/2/2018,53.18
3/5/2018,53.19
3/6/2018,53.57
3/7/2018,54.11
3/8/2018,54.79
3/9/2018,56.07
3/12/2018,56.5
3/13/2018,56.23
3/14/2018,55.28
3/15/2018,55.17
3/16/2018,55.4
3/19/2018,54.62
3/20/2018,55.32
3/21/2018,54.09
3/22/2018,52.31
3/23/2018,51.01
3/26/2018,51.86
3/27/2018,50.9
3/28/2018,50.85
3/29/2018,51.96
4/2/2018,49.78
4/3/2018,51.47
4/4/2018,52.04
4/5/2018,52.14
4/6/2018,50.29
4/9/2018,49.82
4/10/2018,47.46
4/11/2018,45.4
4/12/2018,46.57
4/13/2018,45.87
4/16/2018,46.4
4/17/2018,45.75
4/18/2018,47.76
4/19/2018,46.88
4/20/2018,46.78
4/23/2018,46.68
4/24/2018,45.69
4/25/2018,45.25
4/26/2018,42.37
4/27/2018,43.4
4/30/2018,42.93
5/1/2018,43.36
5/2/2018,42.24
5/3/2018,42.11
5/4/2018,42.86
5/7/2018,42.44
5/8/2018,43
5/9/2018,41.5
5/10/2018,42.04
5/11/2018,42.6
5/14/2018,42.46
5/15/2018,43.19
5/16/2018,44.06
5/17/2018,43.63
5/18/2018,43.38
5/21/2018,44.28
5/22/2018,42.88
5/23/2018,42.8
5/24/2018,43.56
5/25/2018,44.91
5/29/2018,43.59
5/30/2018,43.3
5/31/2018,43.54
6/1/2018,44
6/4/2018,44.86
6/5/2018,44.18
6/6/2018,44.19
6/7/2018,43.84
6/8/2018,43.11
6/11/2018,44.16
6/12/2018,43.41
6/13/2018,42.92
6/14/2018,43.08
6/15/2018,42.77
6/18/2018,42.44
6/19/2018,41.51
6/20/2018,42.03
6/21/2018,41.49
6/22/2018,41.35
6/25/2018,39.68
6/26/2018,39.09
