Date,Close
1/2/2018,51.94
1/3/2018,51.95
1/4/2018,51.71
1/5/2018,51.46
1/8/2018,50.59
1/9/2018,49.04
1/10/2018,50.19
1/11/2018,52.6
1/12/2018,53.42
1/16/2018,51.29
1/17/2018,51.62
1/18/2018,51.42
1/19/2018,53.05
1/22/2018,53.72
1/23/2018,54.57
1/24/2018,54.02
1/25/2018,54.38
1/26/2018,54.82
1/29/2018,55.16
1/30/2018,55.44
1/31/2018,55.38
2/1/2018,55.18
2/2/2018,53.96
2/5/2018,53.22
2/6/2018,54.43
2/7/2018,55.18
2/8/2018,53.65
2/9/2018,53.91
2/12/2018,53.74
2/13/2018,53.54
2/14/2018,53.98
2/15/2018,54.96
2/16/2018,54.67
2/20/2018,63.44
2/21/2018,67.03
2/22/2018,68.8
2/23/2018,68.99
2/26/2018,74.05
2/27/2018,75.79
2/28/2018,75.98
3/1/2018,76.84
3/2/2018,78.69
3/5/2018,77.44
3/6/2018,75.43
3/7/2018,77.23
3/8/2018,74.97
3/9/2018,75.72
3/12/2018,74.53
3/13/2018,70.64
3/14/2018,69.82
3/15/2018,67.94
3/16/2018,65.8
3/19/2018,65.68
3/20/2018,65.37
3/21/2018,65.21
3/22/2018,66.98
3/23/2018,65.53
3/26/2018,66.54
3/27/2018,65.01
3/28/2018,65.28
3/29/2018,65.58
4/2/2018,64.38
4/3/2018,67.55
4/4/2018,70.5
4/5/2018,70.51
4/6/2018,71.69
4/9/2018,70.64
4/10/2018,71.17
4/11/2018,71.27
4/12/2018,72.01
4/13/2018,71.94
4/16/2018,73.61
4/17/2018,72.89
4/18/2018,74.07
4/19/2018,74.03
4/20/2018,74.09
4/23/2018,74.09
4/24/2018,73.98
4/25/2018,77.58
4/26/2018,76.87
4/27/2018,80.67
4/30/2018,79.34
5/1/2018,79.62
5/2/2018,78.73
5/3/2018,75.01
5/4/2018,77.54
5/7/2018,75.72
5/8/2018,78.02
5/9/2018,76.5
5/10/2018,77.25
5/11/2018,74.98
5/14/2018,69.98
5/15/2018,70.54
5/16/2018,70.61
5/17/2018,71.93
5/18/2018,67.73
5/21/2018,68.19
5/22/2018,67.9
5/23/2018,66.44
5/24/2018,67.23
5/25/2018,65.69
5/29/2018,64.78
5/30/2018,65.04
5/31/2018,63.45
6/1/2018,62.68
6/4/2018,62.51
6/5/2018,63.04
6/6/2018,65.99
6/7/2018,64.07
6/8/2018,65.32
6/11/2018,67.05
6/12/2018,70
6/13/2018,72.15
6/14/2018,74
6/15/2018,76.04
6/18/2018,76.82
6/19/2018,76.54
6/20/2018,76.32
6/21/2018,78.26
6/22/2018,80.86
6/25/2018,80.53
6/26/2018,82.16
6/27/2018,77.43
6/28/2018,77.62
6/29/2018,74.8
7/2/2018,75.14
7/3/2018,74.36
7/5/2018,74.65
7/6/2018,74.61
7/9/2018,72.6
7/10/2018,72.5
7/11/2018,73.75
7/12/2018,72.93
7/13/2018,73.4
7/16/2018,71.26
7/17/2018,70.55
7/18/2018,70.37
7/19/2018,70.85
7/20/2018,71.2
7/23/2018,70.97
7/24/2018,68.17
7/25/2018,69.86
7/26/2018,72.16
7/27/2018,71.81
7/30/2018,71.56
7/31/2018,71.03
8/1/2018,70.98
8/2/2018,74.61
8/3/2018,74.77
8/6/2018,73.59
8/7/2018,71.36
8/8/2018,72.25
8/9/2018,74.43
8/10/2018,74.69
8/13/2018,74.98
8/14/2018,76.49
8/15/2018,77.65
8/16/2018,78.37
8/17/2018,80.29
8/20/2018,80.84
8/21/2018,79.48
8/22/2018,79.89
8/23/2018,80.2
8/24/2018,80.95
8/27/2018,81.53
8/28/2018,81.91
8/29/2018,81.79
8/30/2018,83.95
8/31/2018,83.42
9/4/2018,85.27
9/5/2018,88.35
9/6/2018,92.4
9/7/2018,91.68
9/10/2018,83.99
9/11/2018,85
9/12/2018,80.65
9/13/2018,80.26
9/14/2018,82.43
9/17/2018,82.27
9/18/2018,81.81
9/19/2018,79.81
9/20/2018,81
9/21/2018,81.1
9/24/2018,80.62
9/25/2018,81.04
9/26/2018,82.51
9/27/2018,82.74
9/28/2018,81.31
10/1/2018,79.33
10/2/2018,75.69
10/3/2018,75
10/4/2018,76.7
