Date,Close
1/2/2018,24.65
1/3/2018,24.47
1/4/2018,24.53
1/5/2018,24.76
1/8/2018,24.8
1/9/2018,25.46
1/10/2018,25.5
1/11/2018,25.31
1/12/2018,25.52
1/16/2018,25.44
1/17/2018,25.78
1/18/2018,26.11
1/19/2018,26.37
1/22/2018,26.65
1/23/2018,26.24
1/24/2018,26.54
1/25/2018,26.21
1/26/2018,26.62
1/29/2018,26.99
1/30/2018,27.26
1/31/2018,27.2
2/1/2018,27.73
2/2/2018,28.54
2/5/2018,27.94
2/6/2018,27.68
2/7/2018,28.44
2/8/2018,28.51
2/9/2018,28.29
2/12/2018,28.57
2/13/2018,28.4
2/14/2018,29.13
2/15/2018,28.91
2/16/2018,28.77
2/20/2018,28.93
2/21/2018,29.43
2/22/2018,29.17
2/23/2018,28.71
2/26/2018,28.59
2/27/2018,29.08
2/28/2018,28.68
3/1/2018,28.04
3/2/2018,28.57
3/5/2018,28.81
3/6/2018,28.77
3/7/2018,28.83
3/8/2018,28.66
3/9/2018,28.94
3/12/2018,28.7
3/13/2018,28.48
3/14/2018,28.17
3/15/2018,28.26
3/16/2018,28.48
3/19/2018,28.45
3/20/2018,28.79
3/21/2018,29.07
3/22/2018,28.32
3/23/2018,28.3
3/26/2018,28.43
3/27/2018,27.86
3/28/2018,27.75
3/29/2018,27.41
4/2/2018,27.32
4/3/2018,27.84
4/4/2018,27.88
4/5/2018,28.32
4/6/2018,27.75
4/9/2018,27.86
4/10/2018,27.97
4/11/2018,27.9
4/12/2018,28.34
4/13/2018,28.29
4/16/2018,28.32
4/17/2018,28.14
4/18/2018,28.67
4/19/2018,29.14
4/20/2018,29.51
4/23/2018,29.73
4/24/2018,29.83
4/25/2018,30.24
4/26/2018,29.9
4/27/2018,29.57
4/30/2018,29.36
5/1/2018,29.76
5/2/2018,29.64
5/3/2018,29.46
5/4/2018,29.44
5/7/2018,29.5
5/8/2018,29.69
5/9/2018,30.04
5/10/2018,29.71
5/11/2018,29.71
5/14/2018,29.95
5/15/2018,30.8
5/16/2018,30.95
5/17/2018,31.09
5/18/2018,30.67
5/21/2018,30.65
5/22/2018,30.65
5/23/2018,30.03
5/24/2018,29.81
5/25/2018,29.31
5/29/2018,27.68
5/30/2018,28.42
5/31/2018,28.22
6/1/2018,28.95
6/4/2018,29.37
6/5/2018,29.19
6/6/2018,29.75
6/7/2018,29.33
6/8/2018,29.37
6/11/2018,29.57
6/12/2018,29.57
6/13/2018,29.77
6/14/2018,29.46
6/15/2018,29.24
6/18/2018,29.26
6/19/2018,28.93
6/20/2018,29.28
6/21/2018,28.97
6/22/2018,29
6/25/2018,28.75
6/26/2018,28.8
6/27/2018,28.27
6/28/2018,28.47
6/29/2018,28.49
7/2/2018,28.66
7/3/2018,28.38
7/5/2018,28.4
7/6/2018,28.31
7/9/2018,28.6
7/10/2018,28.73
7/11/2018,28.42
7/12/2018,28.53
7/13/2018,28.31
7/16/2018,28.58
7/17/2018,28.64
7/18/2018,28.75
7/19/2018,28.47
7/20/2018,28.95
7/23/2018,29.65
7/24/2018,29.49
7/25/2018,29.36
7/26/2018,29.75
7/27/2018,29.6
7/30/2018,29.75
7/31/2018,29.64
8/1/2018,30.03
8/2/2018,29.86
8/3/2018,29.53
8/6/2018,29.38
8/7/2018,29.73
8/8/2018,29.71
8/9/2018,29.35
8/10/2018,28.57
8/13/2018,28.77
8/14/2018,28.95
8/15/2018,28.52
8/16/2018,28.71
8/17/2018,28.73
8/20/2018,28.23
8/21/2018,28.44
8/22/2018,28.23
8/23/2018,28.21
8/24/2018,28.26
8/27/2018,28.48
8/28/2018,28.84
8/29/2018,28.84
8/30/2018,28.6
8/31/2018,28.53
9/4/2018,29.02
9/5/2018,29.02
9/6/2018,28.79
9/7/2018,29.42
9/10/2018,29.37
9/11/2018,29.77
9/12/2018,29.63
9/13/2018,29.63
9/14/2018,29.94
9/17/2018,30.01
9/18/2018,30.48
9/19/2018,30.83
9/20/2018,30.78
9/21/2018,30.68
9/24/2018,30.78
9/25/2018,31.02
9/26/2018,30.61
9/27/2018,30.56
9/28/2018,30.56
10/1/2018,30.8
10/2/2018,30.56
10/3/2018,31.61
10/4/2018,31.97
10/5/2018,32.25
10/8/2018,32.33
10/9/2018,32.08
10/10/2018,32.25
10/11/2018,31.33
10/12/2018,31.41
10/15/2018,31.63
10/16/2018,31.56
10/17/2018,31.79
10/18/2018,31.75
10/19/2018,31.98
10/22/2018,31.96
10/23/2018,31.66
10/24/2018,31.24
10/25/2018,31.36
10/26/2018,30.77
10/29/2018,30.87
10/30/2018,31.1
10/31/2018,31.59
11/1/2018,31.44
11/2/2018,32.14
11/5/2018,32.01
11/6/2018,32.14
11/7/2018,32.13
11/8/2018,32.34
11/9/2018,31.89
11/12/2018,31.86
11/13/2018,31.45
11/14/2018,31.2
11/15/2018,31.18
11/16/2018,30.74
11/19/2018,30.57
11/20/2018,30.48
11/21/2018,30.61
11/23/2018,30.54
11/26/2018,30.72
11/27/2018,30.55
11/28/2018,30.44
11/29/2018,30.35
11/30/2018,30.13
12/3/2018,29.92
12/4/2018,29.24
12/6/2018,28.76
12/7/2018,28.5
12/10/2018,28.56
12/11/2018,28.79
12/12/2018,29.06
12/13/2018,29.11
12/14/2018,28.91
12/17/2018,28.57
12/18/2018,28.25
12/19/2018,27.78
12/20/2018,27.89
12/21/2018,27.92
12/24/2018,27.49
12/26/2018,27.97
12/27/2018,27.43
12/28/2018,27.36
12/31/2018,26.86
1/2/2019,26.61
1/3/2019,25.54
1/4/2019,26.59
1/7/2019,26.82
1/8/2019,27.16
1/9/2019,27.28
1/10/2019,27.31
1/11/2019,27.01
1/14/2019,27.1
1/15/2019,27.11
1/16/2019,27.31
1/17/2019,27.49
1/18/2019,27.84
1/22/2019,27.3
1/23/2019,27.55
1/24/2019,27.12
1/25/2019,27.53
1/28/2019,27.44
1/29/2019,27.12
1/30/2019,26.95
1/31/2019,26.35
2/1/2019,26.91
2/4/2019,27.24
2/5/2019,27.02
2/6/2019,27.02
2/7/2019,26.52
2/8/2019,26.32
2/11/2019,26.61
2/12/2019,26.84
2/13/2019,27.08
2/14/2019,26.57
2/15/2019,26.66
2/19/2019,26.47
2/20/2019,26.54
2/21/2019,26.88
2/22/2019,26.55
2/25/2019,26.73
2/26/2019,26.36
2/27/2019,26.93
2/28/2019,27.11
3/1/2019,27.55
3/4/2019,27.22
3/5/2019,27.22
3/6/2019,26.92
3/7/2019,26.36
3/8/2019,26.25
3/11/2019,26.43
3/12/2019,26.05
3/13/2019,26.11
3/14/2019,26.3
3/15/2019,25.93
3/18/2019,26.02
3/19/2019,26.14
3/20/2019,25.35
3/21/2019,25.37
3/22/2019,24.55
3/25/2019,24.2
3/26/2019,24.14
3/27/2019,23.74
3/28/2019,23.89
3/29/2019,24.14
4/1/2019,24.97
4/2/2019,24.81
4/3/2019,25.17
4/4/2019,25.12
4/5/2019,25.01
4/8/2019,25.19
4/9/2019,24.99
4/10/2019,24.77
4/11/2019,25.04
4/12/2019,25.6
4/15/2019,25.53
4/16/2019,25.92
4/17/2019,25.92
4/18/2019,25.6
4/22/2019,25.9
4/23/2019,25.7
4/24/2019,25.22
4/25/2019,25.34
4/26/2019,25.05
4/29/2019,25.36
4/30/2019,25.09
5/1/2019,25.11
5/2/2019,25.52
5/3/2019,25.31
5/6/2019,25
5/7/2019,24.48
5/8/2019,24.82
5/9/2019,24.57
5/10/2019,24.55
5/13/2019,24.05
5/14/2019,24.19
5/15/2019,23.79
5/16/2019,24.05
5/17/2019,23.93
5/20/2019,24.16
5/21/2019,24.26
5/22/2019,23.93
5/23/2019,22.96
5/24/2019,23.24
5/28/2019,22.68
5/29/2019,22.36
5/30/2019,22.27
5/31/2019,21.42
6/3/2019,20.81
6/4/2019,21.19
6/5/2019,21.23
6/6/2019,21.24
6/7/2019,20.84
6/10/2019,21.43
6/11/2019,21.4
6/12/2019,21.27
6/13/2019,20.91
6/14/2019,20.93
6/17/2019,20.86
6/18/2019,20.6
6/19/2019,20.29
6/20/2019,20.01
6/21/2019,20.68
6/24/2019,20.21
6/25/2019,19.94
6/26/2019,20.49
6/27/2019,20.05
6/28/2019,20
7/1/2019,20.34
7/2/2019,19.76
7/3/2019,19.53
7/5/2019,20.48
7/8/2019,20.34
7/9/2019,20.54
7/10/2019,20.61
7/11/2019,21.2
7/12/2019,21.06
7/15/2019,20.92
7/16/2019,21.22
7/17/2019,20.61
7/18/2019,20.38
7/19/2019,20.48
7/22/2019,20.43
7/23/2019,20.74
7/24/2019,20.5
7/25/2019,20.74
7/26/2019,20.81
7/29/2019,20.55
7/30/2019,20.61
7/31/2019,20.21
8/1/2019,18.94
8/2/2019,18.55
8/5/2019,17.35
8/6/2019,17.39
8/7/2019,16.84
8/8/2019,17.16
8/9/2019,17.34
8/12/2019,16.39
8/13/2019,16.8
8/14/2019,15.81
8/15/2019,15.29
8/16/2019,15.39
8/19/2019,15.98
8/20/2019,15.61
8/21/2019,15.77
8/22/2019,16.1
8/23/2019,15.28
8/26/2019,15.45
8/27/2019,14.9
8/28/2019,14.66
8/29/2019,15.16
8/30/2019,15.06
9/3/2019,14.66
9/4/2019,14.59
9/5/2019,15.65
9/6/2019,15.5
9/9/2019,16.22
9/10/2019,17.02
9/11/2019,17.33
9/12/2019,17.91
9/13/2019,19.03
9/16/2019,18.41
9/17/2019,18.12
9/18/2019,17.86
9/19/2019,17.74
9/20/2019,17.55
9/23/2019,17.08
9/24/2019,16.35
9/25/2019,17.32
9/26/2019,16.85
9/27/2019,16.75
9/30/2019,16.75
10/1/2019,16.44
10/2/2019,15.96
10/3/2019,15.36
10/4/2019,15.15
10/7/2019,15.53
10/8/2019,15.37
10/9/2019,15.89
10/10/2019,16.58
10/11/2019,17.52
10/14/2019,17.33
10/15/2019,17.71
10/16/2019,17.48
